GenoneName_query	TaxonID_query	LocusTag_query	GI_query	RefSeqAcc_query	GeneName_query	ProductName_query	Inparalog_query_genome	GenomeName_hit	TaxonID_hit	LocusTag_hit	GI_hit	RefSeqAcc_hit	GeneName_hit	ProductName_hit	Inparalog_hit_genome	analysis_type	Ortholuge_Class
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Arthrobacter sp. FB24	290399	Arth_1460	116670021	YP_830954.1	recA	recombinase A		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Selenomonas sputigena ATCC 35185	546271	Selsp_0622	330838472	YP_004413052		recA protein		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Stigmatella aurantiaca DW4/3-1	378806	STAUR_2153	310819426	YP_003951784	recA	RecA protein		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Stigmatella aurantiaca DW4/3-1	378806	STAUR_2243	310819516	YP_003951874		Recombinase A	STAUR_2153; RecA protein ; GI:310819426; RefSeq:YP_003951784	rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Desulfovibrio vulgaris RCH1	573059	Deval_1007	387152873	YP_005701809		recA protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Erwinia sp. Ejp617	215689	EJP617_19390	385787398	YP_005818507	recA	recombinase A		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Mycoplasma wenyonii str. Massachusetts	1197325	WEN_03165	397678205	YP_006519741	recA	recombinase A		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Acidithiobacillus caldus SM-1	990288	Atc_1685	340782427	YP_004749034		RecA protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Hydrogenobacter thermophilus TK-6	608538	Hydth_0789	384128866	YP_005511479		recA protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Pasteurella multocida 36950	1075089	Pmu_15170	378775123	YP_005177366	recA	protein RecA		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Rickettsia prowazekii str. BuV67-CWPP	1105096	MA1_03685	383499980	YP_005413341	recA	recombinase A		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Shewanella baltica OS117	693970	Sbal117_3258	386342071	YP_006038437		protein recA		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Streptococcus pneumoniae INV104	869269	INV104_16720	387627107	YP_006063283	recA	recombinase A		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Neisseria meningitidis M04-240196	935593	NMBM04240196_0771	385850978	YP_005897493	recA	protein RecA		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Helicobacter pylori v225d	637913	HPV225_0168	384888812	YP_005763114	recA	recA protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Corynebacterium pseudotuberculosis CIP 52.97	935697	CpCIP5297_1270	387138846	YP_005694825	recA	recombinase A		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Streptococcus mutans GS-5	1198676	SMUGS5_09390	397650615	YP_006491142	recA	recombinase A		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Streptococcus pseudopneumoniae IS7493	1054460	SPPN_09845	342164598	YP_004769237	recA	recombinase A		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Helicobacter pylori 51	290847	KHP_0152	387781845	YP_005792558	recA	recombinase		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Lactobacillus casei LC2W	999378	LC2W_2812	385821338	YP_005857725	recA	recombinase A	LC2W_1022; protein recA ; GI:385819553; RefSeq:YP_005855940	rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Lactobacillus casei LC2W	999378	LC2W_1022	385819553	YP_005855940	recA	protein recA		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Cyclobacterium marinum DSM 745	880070	Cycma_0495	343083208	YP_004772503		recombinase A		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Corynebacterium ulcerans 809	945711	CULC809_01347	384515881	YP_005710973	recA	recombinase A		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Pseudomonas aeruginosa NCGM2.S1	1089456	NCGM2_4748	386067652	YP_005982956	recA	recombinase A		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Actinoplanes missouriensis 431	512565	AMIS_69110	383782080	YP_005466647	recA	putative recombination protein RecA		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Bifidobacterium animalis subsp. lactis CNCM I-2494	1042403	BALAC2494_00133	384192537	YP_005578284		recombinase A		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_2723	118472151	YP_887057.1	recA	recombinase A		Candidatus Carsonella ruddii HT isolate Thao2000	1202539	A355_0134	400404611	YP_006587586	recA	recombinase A		rbb	
